,SPCD,DIA_cm,HT_m,STATUSCD,CBH_m,CROWN_RADIUS_m,X_m,Y_m
16507,122,12.7,11.5824,1,6.94944,0.9585325294881162,-2049042.0298973508,2089597.3802600624
16508,108,13.208,10.9728,1,6.03504,1.0215938801123343,-2049010.211018033,2089592.764004147
16509,108,13.208,10.9728,1,6.03504,1.0215938801123343,-2049034.7097172856,2089561.3805668028
16510,108,36.322,26.8224,1,10.72896,3.32963931295872,-2049027.071802184,2089565.4430716475
16511,108,21.082,19.2024,1,10.56132,1.7877892901965853,-2049052.776962419,2089576.267638546
16512,108,21.082,19.2024,1,10.56132,1.7877892901965853,-2049058.716518949,2089591.199508475
16513,108,16.764,10.0584,1,5.0292,1.0405122852995998,-2049025.6327149328,2089569.86504449
16514,108,22.606,16.764,1,7.543799999999999,1.9076058563826,-2049020.0834506103,2089599.6029618224
16515,108,22.606,16.764,1,7.543799999999999,1.9076058563826,-2049046.957538012,2089566.9710794005
16516,122,28.702,20.1168,1,10.0584,2.0810245705992,-2049014.455495761,2089596.1185812105
16517,122,35.052,21.6408,1,8.656320000000001,2.686413536591694,-2049025.2096336684,2089609.9867222216
16518,122,92.456,35.052,1,10.515600000000004,5.076438725249562,-2049008.593705078,2089594.5702848667
16519,122,18.288,15.8496,1,9.50976,1.311676092983738,-2049011.290225249,2089583.8648989375
16520,122,18.288,15.8496,1,9.50976,1.311676092983738,-2049014.6608264484,2089577.0371349645
16521,122,51.308,26.5176,1,13.2588,2.7431687521534904,-2049056.8969544603,2089588.31009252
16522,122,42.672,22.86,1,14.859,1.655360453885727,-2049044.894092196,2089570.0625700755
16523,108,25.146,14.9352,1,9.70788,1.0815021632053416,-2049054.4807876884,2089586.7472498943
16524,108,25.146,14.9352,1,9.70788,1.0815021632053416,-2049028.629793914,2089580.0284138229
16525,122,21.844,17.0688,1,11.94816,1.0594306904868651,-2049025.554477298,2089575.37641186
16526,122,14.478000000000002,14.630400000000002,1,10.9728,0.7567362074906181,-2049024.317010823,2089615.1354467587
16527,122,14.478000000000002,14.630400000000002,1,10.9728,0.7567362074906181,-2049036.322386459,2089610.935441007
16528,122,16.256,11.8872,1,9.50976,0.4918785348689017,-2049040.919727108,2089597.1675019937
16529,122,16.256,11.8872,1,9.50976,0.4918785348689017,-2049020.7959203736,2089614.0247693453
16530,122,13.716,11.5824,1,9.26592,0.4792662647440581,-2049021.4520679049,2089592.6145379168
16531,122,20.066000000000003,15.5448,1,9.32688,1.2864515527340508,-2049054.4431314792,2089580.3490168864
